articleTopic	allergies	antibiotics	bread	breakfast	caffeine	cancer	cheese	chicken	children	chocolate	eggs	environment	fat	fiber	fish	garlic	glyphosate	hunger	marketing	meat	milk	obesity	protein	raw food	restaurants	rice	soup	sugar	tea	tobacco	vegetables	water
allergies	0.7825967609113368	0.007411474059840791	0.0019214932747735384	0.0002744990392533626	0.01784243755146857	0.015097447158934943	0.0030194894317869887	0.0021959923140269007	0.04721383475157837	0.0010979961570134504	0.0038429865495470767	0.011803458687894593	0.005764479824320615	0.001372495196266813	0.0021959923140269007	0.0002744990392533626	0.012901454844908043	0.01262695580565468	0.02305791929728246	0.0032939884710403516	0.001372495196266813	0.0038429865495470767	0.007411474059840791	0.005489980785067252	0.0010979961570134504	0.0008234971177600879	0.0008234971177600879	0.0021959923140269007	0.0021959923140269007	0.010705462530881142	0.0024704913532802636	0.005764479824320615
antibiotics	0.022894838960031045	0.8098564221963523	0.002328288707799767	0.002716336825766395	0.008149010477299184	0.006596818005432673	0.0011641443538998836	0.012805587892898719	0.029879705083430345	0.00038804811796662784	0.002716336825766395	0.006596818005432673	0.0015521924718665113	0.0011641443538998836	0.002716336825766395	0.0015521924718665113	0.006596818005432673	0.004656577415599534	0.010477299185098952	0.017074117190531625	0.004268529297632906	0.0015521924718665113	0.004268529297632906	0.002716336825766395	0.00543267365153279	0.004268529297632906	0.00038804811796662784	0.002328288707799767	0.0019402405898331393	0.006596818005432673	0.002716336825766395	0.011641443538998836
bread	0.0056032872618602915	0.0044826298094882335	0.7960403436682854	0.005976839745984311	0.0033619723571161747	0.004856182293612252	0.0044826298094882335	0.0044826298094882335	0.007097497198356369	0.014942099364960777	0.0011206574523720584	0.015689204333208816	0.0029884198729921555	0.004856182293612252	0.0011206574523720584	0.0033619723571161747	0.002614867388868136	0.010833022039596563	0.017183414269704895	0.0044826298094882335	0.008218154650728428	0.007097497198356369	0.005976839745984311	0.0029884198729921555	0.013821441912588718	0.0037355248412401943	0.002614867388868136	0.007844602166604408	0.004856182293612252	0.009712364587224505	0.010833022039596563	0.006723944714232349
breakfast	0.002304147465437788	0.004608294930875576	0.008064516129032258	0.7876344086021505	0.006528417818740399	0.00576036866359447	0.004608294930875576	0.006528417818740399	0.011904761904761904	0.008448540706605223	0.001152073732718894	0.010752688172043012	0.005376344086021506	0.004608294930875576	0.00038402457757296467	0.011136712749615975	0.002304147465437788	0.009984639016897081	0.01152073732718894	0.0049923195084485405	0.005376344086021506	0.002304147465437788	0.010368663594470046	0.0015360983102918587	0.019969278033794162	0.005376344086021506	0.0034562211981566822	0.004224270353302612	0.01228878648233487	0.004608294930875576	0.01152073732718894	0.010368663594470046
caffeine	0.022709475332811275	0.00548159749412686	0.0023492560689115116	0.00548159749412686	0.7956147220046985	0.007830853563038372	0.0031323414252153485	0.009397024275646046	0.022709475332811275	0.0007830853563038371	0.0007830853563038371	0.00548159749412686	0.004698512137823023	0.003915426781519186	0.0015661707126076742	0.0015661707126076742	0.018794048551292093	0.007047768206734534	0.02975724353954581	0.0015661707126076742	0.0	0.0	0.00548159749412686	0.004698512137823023	0.009397024275646046	0.0031323414252153485	0.0031323414252153485	0.0015661707126076742	0.007830853563038372	0.0031323414252153485	0.0015661707126076742	0.009397024275646046
cancer	0.018538713195201745	0.010359869138495093	0.001272264631043257	0.0021810250817884407	0.011450381679389313	0.8184296619411123	0.001272264631043257	0.002544529262086514	0.021628498727735368	0.0007270083605961468	0.003816793893129771	0.0061795710650672485	0.0052708106143220645	0.005634314794620138	0.0001817520901490367	0.001272264631043257	0.005634314794620138	0.004362050163576881	0.020901490367139224	0.007270083605961469	0.0005452562704471102	0.0052708106143220645	0.010723373318793167	0.009814612868047983	0.0027262813522355507	0.0003635041802980734	0.001272264631043257	0.003998545983278807	0.0034532897128316978	0.003271537622682661	0.002362777171937477	0.007270083605961469
cheese	0.003105590062111801	0.0034937888198757765	0.010869565217391304	0.009316770186335404	0.0011645962732919255	0.006599378881987578	0.7857142857142857	0.007763975155279503	0.006211180124223602	0.007763975155279503	0.0015527950310559005	0.004270186335403727	0.004270186335403727	0.0038819875776397515	0.0015527950310559005	0.008928571428571428	0.002329192546583851	0.008540372670807454	0.015527950310559006	0.007375776397515528	0.028338509316770188	0.004658385093167702	0.006599378881987578	0.0038819875776397515	0.03493788819875776	0.0015527950310559005	0.002329192546583851	0.005434782608695652	0.003105590062111801	0.0034937888198757765	0.0019409937888198758	0.0034937888198757765
chicken	0.0015517623586787852	0.009975615162935048	0.003768565728219907	0.003990246065174019	0.006428729771669253	0.004655287076036355	0.0033252050543116827	0.7492795389048992	0.007758811793393926	0.0017734426956328973	0.005985369097761028	0.017956107293283084	0.0017734426956328973	0.0011084016847705607	0.003768565728219907	0.005985369097761028	0.002881844380403458	0.0042119264021281315	0.011970738195522057	0.0873420527599202	0.003768565728219907	0.0019951230325870096	0.0022168033695411215	0.0033252050543116827	0.029040124140988693	0.005320328086898692	0.004655287076036355	0.0035468853912657946	0.0022168033695411215	0.0011084016847705607	0.002881844380403458	0.004433606739082243
children	0.015719246938402487	0.004386766587461159	0.0009139097057210748	0.004752330469749589	0.005483458234326449	0.005483458234326449	0.0021933832937305795	0.0021933832937305795	0.8067994882105648	0.0023761652348747945	0.0012794735880095047	0.010418570645220252	0.003290074940595869	0.005117894352038019	0.0003655638822884299	0.0010966916468652897	0.004386766587461159	0.028879546700785963	0.01553646499725827	0.004386766587461159	0.0018278194114421495	0.011149698409797112	0.009504660939499178	0.006945713763480168	0.0053006762931822335	0.0023761652348747945	0.0014622555291537195	0.005483458234326449	0.0023761652348747945	0.003107292999451654	0.008407969292633887	0.01699872052641199
chocolate	0.0054333061668024995	0.0038033143167617496	0.019831567508829123	0.015213257267046998	0.0013583265417006249	0.005161640858462374	0.008149959250203748	0.0032599837000814994	0.015484922575387123	0.708774789459386	0.0038033143167617496	0.008964955175224124	0.013039934800325998	0.010323281716924749	0.0019016571583808748	0.009236620483564249	0.004618310241782124	0.011681608258625374	0.015484922575387123	0.002988318391741375	0.010866612333604999	0.006791632708503124	0.013039934800325998	0.0010866612333604998	0.03776147785927737	0.004889975550122249	0.0038033143167617496	0.021733224667209998	0.007334963325183374	0.012224938875305624	0.007606628633523499	0.004346644933441999
