	quote	quotee	quoteeAffiliation	quoteeType	articleTopic	articleSim	quoteTopic	quoteSim
4	"Salmon-biased conservation measures, such as commercial fish catch limits and large releases of hatchery-reared salmon, may have to be rethought in order to conserve other marine creatures, the study argues.. ."	authority	authority	authority	fish	0.841341662	fish	0.7578125
163	"The lone star tick, which can trigger a life-threatening allergy to mammalian meat like beef, pork and lamb, is spreading far beyond where it originated in the southeastern U.S., scientists say.. ."	authority	authority	authority	meat	0.751953125	meat	0.80625
176	"Hong Kong's Centre for Food Safety said it had temporarily suspended the import of frozen and chilled meat and poultry ""in view of the fact that the quality of the meat from Brazil is in question"".. ."	Centre for Food Safety	Centre for Food Safety	ORG	meat	0.9515625	meat	0.7578125
178	"â€œPost-liver transplant patients with HCV recurrence and patients with advanced cirrhosis can be difficult to manage because of the potential for drug-drug interactions associated with immunosuppressive treatments and the complex conditions of liver disease,â€ù said Fred Poordad, M.D., ALLY-1 Lead Investigator and Clinical Professor of Medicine, Chief, Hepatology, University of Texas Health Science Center and VP, Academic and Clinical Affairs, Texas Liver Institute."	Fred Poordad	ALLY-1 Lead Investigator	PERSON	liver	0.873790884	liver	0.768711608
179	"â€œPost-liver transplant patients with HCV recurrence and patients with advanced cirrhosis can be difficult to manage because of the potential for drug-drug interactions associated with immunosuppressive treatments and the complex conditions of liver disease,â€ù said Fred Poordad, M.D., ALLY-1 Lead Investigator and Clinical Professor of Medicine, Chief, Hepatology, University of Texas Health Science Center and VP, Academic and Clinical Affairs, Texas Liver Institute."	Fred Poordad	ALLY-1 Lead Investigator	PERSON	liver	0.734134447	liver	0.768711608
180	"â€œPost-liver transplant patients with HCV recurrence and patients with advanced cirrhosis can be difficult to manage because of the potential for drug-drug interactions associated with immunosuppressive treatments and the complex conditions of liver disease,â€ù said Fred Poordad, M.D., ALLY-1 Lead Investigator and Clinical Professor of Medicine, Chief, Hepatology, University of Texas Health Science Center and VP, Academic and Clinical Affairs, Texas Liver Institute."	Fred Poordad	ALLY-1 Lead Investigator	PERSON	liver	0.821118803	liver	0.768711608
181	"â€œPost-liver transplant patients with HCV recurrence and patients with advanced cirrhosis can be difficult to manage because of the potential for drug-drug interactions associated with immunosuppressive treatments and the complex conditions of liver disease,â€ù said Fred Poordad, M.D., ALLY-1 Lead Investigator and Clinical Professor of Medicine, Chief, Hepatology, University of Texas Health Science Center and VP, Academic and Clinical Affairs, Texas Liver Institute."	Fred Poordad	ALLY-1 Lead Investigator	PERSON	liver	0.722287489	liver	0.768711608
220	"The U.S. Food and Drug Administration announced Thursday that it will regulate all tobacco products, including e-cigarettes, cigars, hookah tobacco and pipe tobacco, among others.. ."	The U.S. Food and Drug Administration	The U.S. Food and Drug Administration	ORG	cancer	0.859375	cancer	0.7578125
221	"The U.S. Food and Drug Administration announced Thursday that it will regulate all tobacco products, including e-cigarettes, cigars, hookah tobacco and pipe tobacco, among others.. ."	The U.S. Food and Drug Administration	The U.S. Food and Drug Administration	ORG	cancer	0.848557692	cancer	0.7578125
560	"â€œThis action is a milestone in consumer protection â€” going forward, the FDA will be able to review new tobacco products not yet on the market, help prevent misleading claims by tobacco product manufacturers, evaluate the ingredients of tobacco products and how they are made, and communicate the potential risks of tobacco products,â€ù the FDA said in announcing the changes.. ."	FDA	FDA	ORG	cancer	0.896381579	cancer	0.80625
563	"â€œThis action is a milestone in consumer protection â€” going forward, the FDA will be able to review new tobacco products not yet on the market, help prevent misleading claims by tobacco product manufacturers, evaluate the ingredients of tobacco products and how they are made, and communicate the potential risks of tobacco products,â€ù the FDA said in announcing the changes.. ."	the Food and Drug Administration	the Food and Drug Administration	ORG	cancer	0.896381579	cancer	0.80625
579	"""People with diabetes and severe insulin resistance who have become poorly responsive to the effects of insulin may require much higher insulin doses â€“ more than 200 units per day â€“ to help keep their blood sugar levels on target,"" said Jeffrey A. Jackson, MD, FACE, CDE, Medical Fellow, US Medical Affairs, Lilly Diabetes."	Jeffrey A. Jackson	"CDE,"	PERSON	diabetes	0.858890876	diabetes	0.751922235
587	"â€œWhile we pursue a policy that focuses on addressing the role that nicotine plays in keeping smokers addicted to combustible cigarettes, and to help move those who cannot quit nicotine altogether onto less harmful products, we will also continue to work vigorously to keep all tobacco products out of the hands of kids,â€ù said FDA Commissioner Scott Gottlieb, M.D."	Scott Gottlieb	FDA	PERSON	cancer	0.773643851	cancer	0.7578125
594	"Ã¢Â€ÂœProbiotics and probiotics industry have become one of an important drive of Chinese food industryÃ¢Â€Â™s transition to nutrition and health, while research findings of food science and medical science promotes the rapid growth of the probiotics industry and even food industry,Ã¢Â€Âù said SHAO Wei, secretary general of CIFST, secretary general of Probiotics Branch of CIFST.. ."	Ã¢Â€Âù Said Dr.	unknown	PERSON	sugar	0.8515625	sugar	0.80625
604	"Research suggests that instead of costly and painful biopsy procedures, ultrasound exams using shear wave elastography could become routine for assessing liver disease status and may reduce or avoid the need for conventional liver biopsies.. ."	authority	authority	authority	liver	0.839717742	liver	0.7578125
605	"Research suggests that instead of costly and painful biopsy procedures, ultrasound exams using shear wave elastography could become routine for assessing liver disease status and may reduce or avoid the need for conventional liver biopsies.. ."	authority	authority	authority	liver	0.85078125	liver	0.7578125
608	"As Food Safety News reported today, that peanut butter is supplied by Sunland, which has now confirmed that the recall extends to all its almond and peanut butter products, which it says were distributed nationally to large retail chains.. ."	Food Safety News	Food Safety News	ORG	butter	0.949013158	butter	0.80625
614	"Medical research seems to show that the pain reliever naproxen poses less risk to the heart than other pain medications, but an FDA panel didn't think it was enough to change the label.. ."	the Food and Drug Administration	the Food and Drug Administration	ORG	diabetes	0.95078125	diabetes	0.80625
617	Studies involving patients with type 2 diabetes demonstrate that caloric restriction to the extent practiced during the first 10 to 20 days after gastric bypass surgery alone has the same immediate effect on insulin sensitivity and blood glucose as the surgery.	authority	authority	authority	diabetes	0.731480163	diabetes	0.87890625
619	"â€œIt turns out that there are multiple gut hormones and neuroresponse phenomena that follow a gastric bypassâ€”some of them affect the satiety signals, some affect islet production of insulin,â€ù Wolfe said."	Bruce M. Wolfe	unknown	PERSON	diabetes	0.731480163	diabetes	0.7578125
620	"â€œBariatric surgery is one extreme form of treating diabetes,â€ù Kashyap said, â€œbut 99% of patients would like to improve their health and diabetes without having the surgery.â€ù."	Sangeeta R. Kashyap	unknown	PERSON	diabetes	0.731480163	diabetes	0.80625
621	"TEHRAN (MNA) â€“ Deputy Minister for Agriculture Alimorad Akbari has reported on cooperation between Food and Agriculture Organization (FAO) and Iran to alleviate existing water crisis.On cooperation between Iran and FAO to address water crisis as well as to implement the international bodyâ€™s â€˜Regional Water Scarcity Initiativeâ€™, the Iranian official said ""in the same line, a meeting was held with FAO officials two weeks earlier and currently protocols are being exchanged and contracts are being inked to tackle the ongoing water crisis with regional efforts and support.â€ù""Another session was also held recently with Daniel Calleja Crespo, Directorate-General for Environment is the European Commission department responsible for EU policy on the environment,â€ù said Akbari adding ""during the meeting, we made the proposal that Iran be selected as pilot of region in FAOâ€™s initiative and receive grants given that infrastructure projects are being conducted in one million hectares of Iranian fields.â€ùIn response to a question whether MoUs have been signed or any serious action has been taken, deputy Iranian agriculture minister said ""relevant negotiations have been held and a working group has been formed in a bid to seek appropriate approached to become operational.â€ù"	Alimorad Akbari	Akbari	PERSON	water	0.87890625	water	0.861607143
637	"If the general population were to adhere to the same guideline, the 3 percent decline of sugar and other sweeteners (high-fructose corn sweeteners, agave, honey, maple syrup) it would be a 2 percent reduction in sugar alone, Gaine said."	Courtney Gaine	unknown	PERSON	sugar	0.733469259	sugar	0.780139528
658	"â€œLung cancer tumors can be varied, so treatment options need to be tailored to the specific type of lung cancer in the patient,â€ù said Richard Pazdur, M.D., director of the Office of Hematology and Oncology Products in the FDAâ€™s Center for Drug Evaluation and Research."	Richard Pazdur	the Office of Hematology and Oncology Products	PERSON	cancer	0.778935185	cancer	0.80625
674	"In 2002, the year an EU report revealed that the Senegalese fish biomass had declined 75 per cent in 15 years, Brussels bought rights for four years' fishing of tuna and bottom-dwelling fish on the Senegal coasts, for just $4m a year."	EU	EU	ORG	fish	0.857514881	fish	0.7578125
676	"The Organic ... food labels and ingredients than new mothers responsible for feeding infants whose immune systems and brain development are so ... read more Jessica AlbaÃ¢Â€Â™s Honest Co. is being sued amid shocking claims its organic infant formula includes 11 Ã¢Â€Âœsynthetic ingredients not allowed in organic food by federal law.Ã¢Â€Âù The Organic Consumers Association filed a suit in LA Superior Court alleging that ... read more In the lawsuit, the Organic Consumers Association says 11 of the 40 ingredients in Honest Brand Organic Baby ... about food labels and ingredients than new mothers responsible for feeding infants whose immune systems and brain development are so ... read more"	the Organic Consumers Association	the Organic Consumers Association	ORG	children	0.78125	children	0.7578125
677	"â€œThis action is a milestone in consumer protectionâ€“going forward, the FDA will be able to review new tobacco products not yet on the market, help prevent misleading claims by tobacco product manufacturers, evaluate the ingredients of tobacco products and how they are made, and communicate the potential risks of tobacco product,â€ù the FDA said in a statement Thursday morning.. ."	FDA	FDA	ORG	cancer	0.884191176	cancer	0.80625
