articleTopic	persons	organizations	authority	empirical observation
allergies	0.045725739889164015	0.9418464803678811	0.011956137247966042	0.00047164249498879847
antibiotics	0.6456649010315026	0.28017842207973237	0.0708112628937831	0.003345413994981879
bread	0.6621621621621622	0.26386913229018494	0.061877667140825036	0.01209103840682788
breakfast	0.6853247219232149	0.24614280588446358	0.050950843200574095	0.017581628991747398
caffeine	0.5543086172344689	0.40681362725450904	0.03767535070140281	0.0012024048096192384
cancer	0.613094297899226	0.31329963670826094	0.07123677144211026	0.00236929395040278
cheese	0.6040856031128404	0.34873540856031127	0.04182879377431906	0.005350194552529183
chicken	0.5274969672462596	0.4088152042054185	0.04063890012131015	0.023048928427011728
children	0.4756867428766422	0.4111926292441563	0.1115850537450947	0.0015355741341068077
chocolate	0.7285752906190862	0.09786428764530955	0.0851581508515815	0.08840227088402271
eggs	0.48508883248730966	0.407994923857868	0.10057106598984772	0.006345177664974619
environment	0.6384021788470268	0.25120290512936905	0.10585565138447571	0.004539264639128461
fat	0.4199868977428384	0.14841284021201834	0.4084330891549044	0.02316717289023882
fiber	0.06224113475177305	0.2342695035460993	0.6997446808510638	0.00374468085106383
fish	0.5396825396825397	0.33513027852650495	0.12264150943396226	0.002545672356993112
garlic	0.5151006711409396	0.2953020134228188	0.1669463087248322	0.022651006711409395
glyphosate	0.4460675815257489	0.4403128227829423	0.11125866902759333	0.0023609266637155085
hunger	0.5651911468812877	0.22253521126760564	0.19698189134808852	0.015291750503018108
marketing	0.3052253248548521	0.6396645470463552	0.053912081835775505	0.0011980462630172333
meat	0.6968759665944942	0.18326631611506342	0.11529539127745128	0.00456232601299103
milk	0.35064399321629924	0.6324884264564331	0.014575789521932439	0.002291790805335289
obesity	0.5356340076689144	0.37048790162633877	0.08620917625280973	0.007668914451937062
protein	0.6793329688354292	0.2528704209950793	0.06478950246036086	0.0030071077091306723
raw food	0.1477129668485103	0.8433697020562316	0.007973143096936634	0.0009441879983214436
restaurants	0.631924882629108	0.28909754825247785	0.07031820552947314	0.008659363588941054
rice	0.5015212981744422	0.24746450304259635	0.2449290060851927	0.006085192697768763
soup	0.49210064365125805	0.44060854300760677	0.0620245757753072	0.0052662375658279695
sugar	0.27865002392032356	0.5797416605053712	0.13882485973992084	0.0027834558343843778
tea	0.6881188118811881	0.1956521739130435	0.10977184674989238	0.0064571674558760225
tobacco	0.7002374633328677	0.282441681799134	0.016063696046933928	0.0012571588210643944
vegetables	0.7668615577364795	0.16767592399248277	0.06389642931718521	0.0015660889538525787
water	0.5910628864776573	0.3309998833274997	0.07642048769105123	0.0015167425037918563
