	quotee	count
263	Donald Trump	909
711	Michelle Obama	532
517	Julie Nolke	358
30	Alton Brown	322
230	David Katz	311
876	Roger Johnson	296
8	Adam Smith	290
101	Bill Marler	271
996	Thomas Joseph	266
833	Ram Vilas Paswan	260
591	Libby Mills	255
164	Chris Jones	223
1010	Tom Vilsack	198
487	John Mackey	186
754	Neil deGrasse Tyson	181
552	Kim Taehyung	179
921	Scott Gottlieb	179
213	Dariush Mozaffarian	168
417	James O. Hill	165
127	Bruce C. Forbes	163
380	Harsimrat Kaur Badal	163
943	Sid Miller	160
796	Paul Bulcke	159
159	Chris Arnold	152
804	Pawan Agarwal	150
238	Dawn Jackson Blatner	145
87	Ben Chapman	144
608	Lu Ann Williams	142
1058	William Davis	139
425	Jane Martin	137
703	Michael Pollan	131
415	James Dale	128
708	Michael Taylor	127
217	Dave Murphy	126
413	James Baker	126
455	Jeremy Lee	125
663	Mars Food	124
809	Peter Marks	122
826	Radha Mohan Singh	122
603	Lisa Young	121
405	Jack Heinemann	115
538	Ken Cook	112
785	Park Jimin	110
863	Robert Califf	109
93	Bernie Sanders	108
261	Don Thompson	108
476	Joe Manchin	108
160	Chris Bernstein	107
789	Pat Roberts	107
914	Sarah Carey	106
90	Bentley Hall	104
10	Adriana Alvarez	103
103	Bob Ferguson	103
502	Josee Johnston	102
