article,use case,score (expert 1),score update (expert 1),notes (expert 1),score (expert 2),score update (expert 2),note (expert 2)
http://fortune.com/2018/01/04/philip-morris-quit-cigarettes-tobacco-free/?utm_campaign=fortunemagazine&utm_source=twitter.com&utm_medium=social&xid=soc_socialflow_twitter_FORTUNE,ATC,0,,,0,,"Pros
- Videos
- Informal tone
Cons
- The news are not really about science, but about tobacco industry"
http://humanprogress.org/article.php?p=503,ATC,0,,,-1,,"Cons
- It starts with really negative affirmations.
- Too much numbers, people do not care about dates
- Format: it's difficult to follow the thread"
http://mentalfloss.com/article/526832/sorry-barflies-dry-january-isnt-fix-heavy-drinking,ATC,1,,,0,,"Pros
- Curious"
http://uk.businessinsider.com/indoor-smoking-bans-kids-asthma-healthier-2016-12?utm_content=buffer6b517&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer&r=US&IR=T,ATC,1,,,0,,"Pros
- ""While the researchers can't prove that the bans single-handedly caused the decline in asthma-related ER visits, they suggest that is the most plausible interpretation of the data"" : it shows that the study has flaws, so it's honest
Cons
- The title is a bit sensationalist: ""A 15-year study finds indoor smoking bans really do make kids with asthma"" healthier. It does not make them healthier! They just have less attacks, but their health is the same."
http://uk.businessinsider.com/philip-morris-e-cigarette-2016-11?r=US&IR=T,ATC,1,,,1,,"Pros
- Well explained, easy to understand
Cons
-Long"
http://vantagepointrecovery.com/5-reasons-seek-support-quitting-alcohol/,ATC,0,,,-1,,"Cons
- Too focused on alcohol addiction: maybe not interesting for everyone"
http://winefolly.com/update/alcohol-your-brain-and-dementia/?utm_content=buffere2ba7&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,ATC,-2,-2,"First of all, there is a clear conflict of interest as behind this news article there is a wine company. The main problem here is that the original study was made using ethanol and not red wine and the writer/journalist is always referring to red wine and we cannot infer this from the original research. Besides this, the journalist didn't compare findings from the study with previous solid-evidence based data.",2,-1,"Pros
- Use of images
- It explains some scientific terms such as glymphatic system
- It clarifies that the experiments have been done in mice: ""isn’t the same as testing on humans"""
http://www.drugaddictionnow.com/2016/11/28/treating-a-dual-diagnosis-of-addiction-and-mental-illness-can-sometimes-be-a-case-of-simply-treating-the-addiction/?platform=hootsuite,ATC,1,,,1,,"Pros
- Interesting topic
Cons
- ""drugs and/or alcohol"" alcohol is also a drug!
- Maybe too many citations"
http://www.esquire.com/food-drink/food/a16756469/california-coffee-cancer-warning-lawsuit/?src=socialflowTW,ATC,0,,"Superficial coverage of the science behind whether coffee is healthy or not (it doesn't mention type of studies assessed, which amount of coffee is healthy, upper limits that we shouldn't overcome, etc.).",0,,California Might Be Slapping a Cancer Warning on Your Coffee
http://www.healthline.com/nutrition/top-13-evidence-based-health-benefits-of-coffee?sf51065311=1,ATC,0,,The overall article is fine. The bias is that this news article has only focused on studies with positive results about caffein and subtitles are sensational.,1,,"Pros
- Summary after each part"
http://www.illinoispolicy.org/senate-bill-would-ban-tobacco-products-e-cigarettes-for-illinoisans-under-21/?utm_content=66614811&utm_medium=social&utm_source=twitter,ATC,0,,This news article only focuses on description data and doesn't deepen on science-based implications of the information provided.,1,,"Pros
- Easy to understand
Cons
- Is the announcement really outstanding?
- There's a part with many dates. Those are not relevant for the public."
