Name,Field,URL
AGRIS: Agricultural database,Agriculture,http://agris.fao.org
Analytical sciences digital library,Chemistry,http://asdlib.org
Anthropological Index Online,Anthropology,http://aio.therai.org.uk
Arnetminer,Computer Science,http://aminer.org
arXiv,Multidisciplinary,http://arxiv.org
Astrophysics Data System,Physics,http://adsabs.harvard.edu
AULIMP: Air University Library's Index to Military Periodicals,Military Science,http://www.airuniversity.af.mil
BASE: Bielefeld Academic Search Engine,Multidisciplinary,http://base-search.net
CHBD: Circumpolar Health Bibliographic Database,Medicine,http://www.aina.ucalgary.ca
CiteSeerX,Computer Science,http://citeseerx.ist.psu.edu
CiteULike,Computer Science,http://citeulike.org
Civil engineering database,Civil engineering,http://cedb.asce.org
CogPrints: Cognitive Sciences Eprint Archives,Multidisciplinary,http://cogprints.org
dblp computer science bibliography,Computer Science,http://dblp.org
Directory of Open Access Journals,Multidisciplinary,http://doaj.org
Doi,Multidisciplinary,http://www.doi.org
EconBiz,Economics,http://econbiz.de
ERIC: Educational Resource Information Center,Education,http://eric.ed.gov
Europe PMC,Biomedical,http://europepmc.org
Google Scholar,Multidisciplinary,http://scholar.google.com
GoPubMed,Medicine,http://www.gopubmed.org
HCI Bibliography,HCI,http://hcibib.org
HubMed,Medicine,http://git.macropus.org/hubmed
IARP,Multidisciplinary,http://agingportfolio.org
Index Copernicus,Multidisciplinary,http://www.indexcopernicus.com
Information Bridge: Department of Energy Scientific and Technical Information,Multidisciplinary,http://www.osti.gov
Isidore,Humanities,http://www.rechercheisidore.fr
Jurn,Multidisciplinary,http://www.jurn.org
Lingbuzz,Linguistics,http://lingbuzz.auf.net
MedlinePlus,Medicine,http://medlineplus.gov
Mendeley,Multidisciplinary,http://www.mendeley.com
Microsoft Academic,Multidisciplinary,http://academic.microsoft.com
MyScienceWork,Multidisciplinary,http://www.mysciencework.com
National Criminal Justice Reference Service,Criminology,http://www.ncjrs.gov
NBER: National Bureau of Economic Research,Economics,http://nber.org
OAIster,Multidisciplinary,http://oaister.worldcat.org
Open Grey,Grey Literature,http://www.opengrey.eu
PhilPapers,Philosophy,http://philpapers.org
Psychology's Feminist Voices,Psychology,http://www.feministvoices.com
PubChem,Chemistry,http://pubchem.ncbi.nlm.nih.gov
PubMed,Biomedical,http://www.ncbi.nlm.nih.gov/pubmed
PubPsych,Psychology,http://www.pubpsych.eu
RePEc: Research Papers in Economics,Economics,http://repec.org
SafetyLit,Multidisciplinary,http://www.safetylit.org
SciELO,Multidisciplinary,http://www.scielo.org
Science.gov,Multidisciplinary,http://www.science.gov
ScienceOpen,Multidisciplinary,http://www.scienceopen.com
SearchTeam,Multidisciplinary,http://searchteam.com
Semantic Scholar,Computer Science,http://www.semanticscholar.org
Sparrho,Multidisciplinary,https://www.sparrho.com
SSRN: Social Science Research Network,Social science,http://www.ssrn.com
VET-Bib,Social Science,http://cedefop.knowall.online
WorldWideScience,Multidisciplinary,http://worldwidescience.org
American Mathematical Society,Mathematics,http://ams.org
Science Direct,Multidisciplinary,http://sciencedirect.com
Springer,Multidisciplinary,http://link.springer.com
IEEE,Multidisciplinary,http://ieeexplore.ieee.org
American Society of Mechanical Engineers,Mechanical Engineering,http://asmedigitalcollection.asme.org
IEEE Computer,Computer Science,http://www.computer.org
Uclibs,Multidisciplinary,http://uclibs.org
Ascelibrary,Multidisciplinary,http://ascelibrary.org
Crossref,Multidisciplinary,http://www.crossref.org
Academia,Multidisciplinary,http://www.academia.edu
Scopus,Multidisciplinary,http://www.scopus.com
Jstor,Multidisciplinary,http://www.jstor.org
All Academic,Multidisciplinary,http://www.allacademic.com
Uniprot,Bioinformatics,http://www.uniprot.org
Expasy,Bioinformatics,http://www.expasy.org
PNAS,Multidisciplinary,http://www.pnas.org
Texas Digital Library,Multidisciplinary,http://www.tdl.org
DL ACM,Multidisciplinary,http://dl.acm.org
Elsevier,Multidisciplinary,http://www.elsevier.com
ACS,Multidisciplinary,http://acs.org
Wikipedia,Multidisciplinary,http://wikipedia.org
Nature Journal,Multidisciplinary,http://www.nature.com
US Clinical Trials,Medicine,http://clinicaltrials.gov
US Department of Agriculture,Agriculture,http://www.usda.gov
US Food and Drug Administration,Nutrition,http://www.fda.gov
UK Food Standards Agency,Nutrition,http://www.food.gov.uk
US Department of Health and Human Services,Health,http://healthfinder.gov
US Centers of Disease Control,Health,http://www.cdc.gov
US National Cancer Institute,Health,http://www.cancer.gov
US Environmental Protection Agency,Environment,http://www.epa.gov
US Health,Health,http://health.gov
US National Center for Biotechnology Information,Health,http://www.ncbi.nlm.nih.gov
US National Institute of Health,Health,http://www.nih.gov
US Federal Trade Comission,Trade,http://www.ftc.gov
NASA,Aeronautics,http://www.nasa.gov
US National Science Foundation,Multidisciplinary,http://nsf.gov
US Geological Survey,Geology,http://www.usgs.gov
US Department of Health & Human Services,Health,http://www.hhs.gov
Neurology,Health,http://neurology.org
American Academy of Pediatrics,Health,http://pediatrics.aappublications.org
American Society for Microbiology,Health,http://mbio.asm.org
Substance Abuse and Mental Health Services Administration,Health,http://www.samhsa.gov
International College of Human Nutrition and Functional Me,Nutrition,http://www.ichnfm.org
Cambridge press,Multidisciplinary,http://cambridge.org
