Concept name,Concept categories,Concept literal,Language
"junk food","Food; Processed Food; PF instance (generic); junk food","addictive food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","addictive junk food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","bad food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","cheap food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","fake food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","fast food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","fast food restaurant food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","fastest food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","fastfood","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","food garbage","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","fried food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","habit-forming food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","habit-forming junk food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","heavily modified food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","high processed food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","highly processed food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","hyper processed food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","hyper-processed food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","hyperprocessed food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","junk food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","junk_food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","junkfood","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","overly processed food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","overly-processed food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","overprocessed food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","processed fast food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","processed junk","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","processed junk food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","processed sugary food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","sugary food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","super processed food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","super-processed food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","superprocessed food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","ultra processed food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","ultra-processed food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","ultraprocessed food","en"
"junk food","Food; Processed Food; PF instance (generic); junk food","worst food","en"
"person","","human","en"
"person","","humanity","en"
"person","","humankind","en"
"person","","humanness","en"
"person","","humans","en"
"person","","individual","en"
"person","","man","en"
"person","","mankind","en"
"person","","people","en"
"person","","person","en"
"person","","somebody","en"
"person","","someone","en"
"increase","","addition","en"
"increase","","advance","en"
"increase","","advancement","en"
"increase","","boost","en"
"increase","","development","en"
"increase","","elevation","en"
"increase","","emergence","en"
"increase","","evolution","en"
"increase","","furthering","en"
"increase","","growth","en"
"increase","","improvement","en"
"increase","","increase","en"
"increase","","increment","en"
"increase","","maturation","en"
"increase","","melioration","en"
"increase","","ontogeny","en"
"increase","","procession","en"
"increase","","progress","en"
"increase","","progression","en"
"increase","","rise ","en"
"increase","","upgrade","en"
"health","","good health","en"
"health","","goodhealth","en"
"health","","health","en"
"health","","healthful","en"
"health","","healthier lifestyle","en"
"health","","healthy","en"
"health","","healthy life","en"
"health","","healthy lifestyle","en"
"health","","healthy living","en"
"health","","healthylifestyle","en"
"health","","healthyliving","en"
"health","","human health","en"
"health","","humanhealth","en"
"health","","natural health","en"
"health","","naturalhealth","en"
"health","","wellness","en"
"healthy food","Healthy Food","clean eating challenge","en"
"healthy food","Healthy Food","clean eating diet","en"
"healthy food","Healthy Food","clean food","en"
"healthy food","Healthy Food","cleanfood","en"
"healthy food","Healthy Food","good food","en"
"healthy food","Healthy Food","goodfood","en"
"healthy food","Healthy Food","health food","en"
"healthy food","Healthy Food","healthier diet","en"
"healthy food","Healthy Food","healthier food","en"
"healthy food","Healthy Food","healthy alimentation","en"
"healthy food","Healthy Food","healthy alimentation habit","en"
"healthy food","Healthy Food","healthy alternative","en"
"healthy food","Healthy Food","healthy bite","en"
"healthy food","Healthy Food","healthy breakfast","en"
"healthy food","Healthy Food","healthy choice","en"
"healthy food","Healthy Food","healthy diet","en"
"healthy food","Healthy Food","healthy dieting","en"
"healthy food","Healthy Food","healthy eater","en"
"healthy food","Healthy Food","healthy eating","en"
"healthy food","Healthy Food","healthy eating habit","en"
"healthy food","Healthy Food","healthy feeding","en"
"healthy food","Healthy Food","healthy feeding habit","en"
"healthy food","Healthy Food","healthy food","en"
"healthy food","Healthy Food","healthy meal","en"
"healthy food","Healthy Food","healthy option","en"
"healthy food","Healthy Food","healthy pick","en"
"healthy food","Healthy Food","healthy selection","en"
"healthy food","Healthy Food","healthy snack","en"
"healthy food","Healthy Food","healthybreakfast","en"
"healthy food","Healthy Food","healthyeater","en"
"healthy food","Healthy Food","healthyeating","en"
"healthy food","Healthy Food","healthyfood","en"
"healthy food","Healthy Food","healthymeal","en"
"healthy food","Healthy Food","healthyoption","en"
"healthy food","Healthy Food","healthysnack","en"
"healthy food","Healthy Food","heart healthy cooking","en"
"healthy food","Healthy Food","nutritious food","en"
"healthy food","Healthy Food","nutritiousfood","en"
"healthy food","Healthy Food","real food challenge","en"
"healthy food","Healthy Food","real food diet","en"
"healthy food","Healthy Food","real food rehab","en"
"healthy food","Healthy Food","safe food","en"
"healthy food","Healthy Food","safefood","en"
"healthy food","Healthy Food","slow food","en"
"healthy food","Healthy Food","slowfood","en"
"United States","","U.S.","en"
"United States","","U.S.A.","en"
"United States","","US","en"
"United States","","USA","en"
"United States","","United States","en"
"United States","","the U.S.","en"
"United States","","the US","en"
"problem","","alarming problem","en"
"problem","","alarming trouble","en"
"problem","","bother","en"
"problem","","concern","en"
"problem","","danger","en"
"problem","","difficulty","en"
"problem","","endangerment","en"
"problem","","fuss","en"
"problem","","hassle","en"
"problem","","hazard","en"
"problem","","huge problem","en"
"problem","","huge trouble","en"
"problem","","jeopardy","en"
"problem","","menace","en"
"problem","","mess","en"
"problem","","peril","en"
"problem","","problem","en"
"problem","","risk","en"
"problem","","scourge","en"
"problem","","terror","en"
"problem","","threat","en"
"problem","","trouble","en"
"problem","","vexation","en"
"problem","","worry","en"
"fresh food","","fresh food","en"
"fresh food","","fresh produce","en"
"fresh food","","fresh unprocessed food","en"
"fresh food","","freshly prepared food","en"
"fresh food","","local food","en"
"fresh food","","localfood","en"
"fresh food","","natural food","en"
"fresh food","","nature food","en"
"fresh food","","organic food","en"
"fresh food","","plant based food","en"
"fresh food","","raw food","en"
"fresh food","","rawfood","en"
"fresh food","","super food","en"
"fresh food","","superfood","en"
"fresh food","","superfoods","en"
"fresh food","","trash free food","en"
"fresh food","","unprocessed food","en"
"fresh food","","unprocessed meal","en"
"fresh food","","whole food","en"
"fresh food","","wholefood","en"
"garbage","","crap","en"
"garbage","","fuck","en"
"garbage","","garbage","en"
"garbage","","rubbish","en"
"garbage","","shit","en"
"garbage","","trash","en"
"comfort food","Food; Processed Food; PF instance (generic)","comfort food","en"
"comfort food","Food; Processed Food; PF instance (generic)","comfortfood","en"
"comfort food","Food; Processed Food; PF instance (generic)","confort food","en"
"comfort food","Food; Processed Food; PF instance (generic)","confortfood","en"
"comfort food","Food; Processed Food; PF instance (generic)","convenience food","en"
"comfort food","Food; Processed Food; PF instance (generic)","convenient food","en"
"comfort food","Food; Processed Food; PF instance (generic)","food of comfort","en"
"comfort food","Food; Processed Food; PF instance (generic)","food of confort","en"
